PackageID,Product,MetrcQty,CurrentQty,Supplier,Cost,CostPerItem,Synced,OriginalQuantity,MetrcTag,ExternalID,ActivatedAt,MetrcName
D000004244,Zombi Salsa small flowers,15.17,,,"$1,905.08 ",$1.40 ,Yes,1360.77,1A40E01000173ED000004244,10806988,5/20/2024,Zombi Salsa small flowers
D000004246,Blackwell - Cap Junky small flowers,,,,"$1,809.82 ",$1.40 ,Yes,1292.73,1A40E01000173ED000004246,10806990,5/20/2024,Blackwell - Cap Junky small flowers
D000004248,Blackwell - Green Runtz small flowers,,,,$635.03 ,$1.40 ,Yes,453.59,1A40E01000173ED000004248,10806992,5/20/2024,Blackwell - Green Runtz small flowers
D000004245,RS-54 small flowers,0.01,,,"$1,905.08 ",$1.40 ,Yes,1360.77,1A40E01000173ED000004245,10806989,5/20/2024,RS-54 small flowers
D000004243,Blackwell - Animal Gelato small flowers,,,,"$1,360.77 ",$1.00 ,Yes,1360.77,1A40E01000173ED000004243,10806987,5/20/2024,Blackwell - Animal Gelato small flowers
D000051957,Live Badder - Lucky Charms - 1g,,,,$47.90 ,$4.79 ,Yes,10,1A40E0100002A3D000051957,10747640,5/20/2024,Live Badder - Lucky Charms - 1g
D000051962,Live Sugar - White Runtz - 1g,,,,$47.90 ,$4.79 ,Yes,10,1A40E0100002A3D000051962,10747538,5/20/2024,Live Sugar - White Runtz - 1g
D000051954,Live Badder - Hi Biscus - 1g,,,,$47.90 ,$4.79 ,Yes,10,1A40E0100002A3D000051954,10747532,5/20/2024,Live Badder - Hi Biscus - 1g
D000051950,Live Sugar - Fritter Train - 1g,,,,$47.90 ,$4.79 ,Yes,10,1A40E0100002A3D000051950,10747530,5/20/2024,Live Sugar - Fritter Train - 1g
D000051958,Live Sugar - Mango Sherbet - 1g,,,,$47.90 ,$4.79 ,Yes,10,1A40E0100002A3D000051958,10747534,5/20/2024,Live Sugar - Mango Sherbet - 1g
D000051959,Live Badder - Mango Sherbet - 1g,,,,$47.90 ,$4.79 ,Yes,10,1A40E0100002A3D000051959,10747535,5/20/2024,Live Badder - Mango Sherbet - 1g
D000051961,Live Sugar - Wedding Tree - 1g,,,,$47.90 ,$4.79 ,Yes,10,1A40E0100002A3D000051961,10747537,5/20/2024,Live Sugar - Wedding Tree - 1g
D000051949,Live Badder - Fortune Cookie - 1g,,,,$47.90 ,$4.79 ,Yes,10,1A40E0100002A3D000051949,10747529,5/20/2024,Live Badder - Fortune Cookie - 1g
D000051955,Live Sugar - Jelly Rancher - 1g,,,,$47.90 ,$4.79 ,Yes,10,1A40E0100002A3D000051955,10747533,5/20/2024,Live Sugar - Jelly Rancher - 1g
D000051953,Live Sugar - Grape Zima - 1g,,,,$47.90 ,$4.79 ,Yes,10,1A40E0100002A3D000051953,10747638,5/20/2024,Live Sugar - Grape Zima - 1g
D000051956,Live Badder - Lollipop Shop - 1g,,,,$47.90 ,$4.79 ,Yes,10,1A40E0100002A3D000051956,10747639,5/20/2024,Live Badder - Lollipop Shop - 1g
D000051952,Live Sugar - Grape Ice - 1g,,,,$47.90 ,$4.79 ,Yes,10,1A40E0100002A3D000051952,10747637,5/20/2024,Live Sugar - Grape Ice - 1g
D000051951,Live Sugar - Girl Scout Cookies - 1g,,,,$47.90 ,$4.79 ,Yes,10,1A40E0100002A3D000051951,10747531,5/20/2024,Live Sugar - Girl Scout Cookies - 1g
D000051960,Live Badder - Shotgun Wedding - 1g,,,,$47.90 ,$4.79 ,Yes,10,1A40E0100002A3D000051960,10747536,5/20/2024,Live Badder - Shotgun Wedding - 1g
D000051947,Live Sugar - Apple Blossom - 1g,,,,$47.90 ,$4.79 ,Yes,10,1A40E0100002A3D000051947,10747527,5/20/2024,Live Sugar - Apple Blossom - 1g
D000051948,Live Badder - Candy Queen - 1g,,,,$47.90 ,$4.79 ,Yes,10,1A40E0100002A3D000051948,10747528,5/20/2024,Live Badder - Candy Queen - 1g
B000009101,Batch Moon Dust Distillate Gummies 100mg - Sour Apple 2000MG,,,,$75.00 ,$15.00 ,Yes,5,1A40E01000282FB000009101,10656921,5/16/2024,Moon Dust Distillate Gummies - 2000mg - Sour Apple
B000009100,Moon Dust Distillate Gummies - 3000mg - Variety Pack,,,,$125.00 ,$25.00 ,Yes,5,1A40E01000282FB000009100,10657214,5/16/2024,Moon Dust Distillate Gummies - 3000mg - Variety Pack
