SKU,Available,Product,Strain,Price,Cost,Category,Tags,Type,Isretired,Lineage,Distillation,Allergens,Brand,Mastercategory,Netweight,Productgrams,Regulatorycategory,Size,Taxable,THCcontent,UPC,Vendor
40884364,42,Nothing But Net | Indica | Flower | Diamond Dust,Nothing But Net,10,2.21,Flower,Flower,Weight,No,,,,Diamond Dust,Flower,,,Flower/Bud,,Yes,,,"Diamond Dust Farms, LLC"
71126722,0,Pluto | Indica | Flower | Diamond Dust,Pluto,10,2,Flower,Flower,Weight,No,,,,Diamond Dust,Flower,,,Flower/Bud,,Yes,,,"Diamond Dust Farms, LLC"
23912603,1,"Assorted Gummies | 1,000mg | Ruby Mae's",Multi Harvest,30,9,Edibles,Gummies,Quantity,No,,,,Ruby Mae's,Edibles,2.9,81.2g,Edible,,Yes,,,"Ruby Mae's, LLC"
87848801,3,"Strawberry Gummies | 1,000mg | Ruby Mae's",Multi Harvest,30,9,Edibles,Gummies,Quantity,No,,,,Ruby Mae's,Edibles,2.9,1g,Edible,,Yes,,,"Ruby Mae's, LLC"
27116214,0,"Green Apple Gummies | 1,000mg | Ruby Mae's",Multi Harvest,30,9,Edibles,Gummies,Quantity,No,,,,Ruby Mae's,Edibles,2.9,1g,Edible,,Yes,,,"Ruby Mae's, LLC"
85825881,4,"Sour Watermelon Gummies | 1,000mg | Ruby Mae's",Multi Harvest,30,9,Edibles,Gummies,Quantity,No,,,,Ruby Mae's,Edibles,2.9,1g,Edible,,Yes,,,"Ruby Mae's, LLC"
24676175,1,"Black Cherry Gummies | 1,000mg | Ruby Mae's",Multi Harvest,30,9,Edibles,Gummies,Quantity,No,,,,Ruby Mae's,Edibles,2.9,1g,Edible,,Yes,,,"Ruby Mae's, LLC"
55644832,22.5,Pablo's Revenge | Hybrid |  Flower | Nugz,Pablo's Revenge,7,2.2,Flower,Flower,Weight,No,,,,Nugz,Flower,,,Flower/Bud,,Yes,,,Grassfire LLC
23940625,22.5,Runtz 45 | Hybrid |  Flower | Nugz,Runtz 45,7,2.2,Flower,Flower,Weight,No,,,,Nugz,Flower,,,Flower/Bud,,Yes,,,Grassfire LLC
49766883,8,Terrpon | 75mg | Suppositories,,25,15,Suppositories,,Quantity,No,,,,Terppon,Infused Non-Edible,3,3g,,,Yes,,,Arcadia Brands LLC
10847834,2,RX3 | Temple Ball and Square,,25,15,Hash,,Quantity,No,,,,Hopper's,Concentrates,,1g,Concentrate,,Yes,,,Arcadia Brands LLC
78072823,0,Popcorn | 560mg | Country Cannabis,Multi Harvest,15,6,Edibles,,Quantity,No,,,,Country Cannabis,Edibles,56,5.6g,Edible,,Yes,,,Big Country Investment Group Corp.
38773396,0,Gastro Pop | Indica | Dab | 77 Extracts,Gastro Pop,6,3,BHO,Dabs,Quantity,No,,,,77 Extracts,Concentrates,,1g,Concentrate,,Yes,,,Life of Riley LLC
24905485,4,MAC Runtz | Hybrid | Dab | 77 Extracts,MAC Runtz,6,3,BHO,Dabs,Quantity,No,,,,77 Extracts,Concentrates,,1g,Concentrate,,Yes,,,Life of Riley LLC
90538813,1,Sugar Biscuit | Indica | Dab | 77 Extracts,Sugar Biscuit,6,3,BHO,Dabs,Quantity,No,,,,77 Extracts,Concentrates,1,1g,Concentrate,,Yes,,,Life of Riley LLC
33581344,1,Electric Lemon | 25mg | Country Cannabis,Multi Harvest,7,0.01,Edibles,Soda,Quantity,No,,,,Country Cannabis,Edibles,12,0.25g,Edible,,Yes,,,Big Country Investment Group Corp.
53794604,68.2,Dough Nutty | Sativa |  Flower | Diamond Dust,Dough Nutty,7,2.22,Flower,Flower,Weight,No,,,,Diamond Dust,Flower,,,Flower/Bud,,Yes,,,"Diamond Dust Farms, LLC"
25413185,64,Apple| Infused | Pre-Roll | Hu$hie$,Multi Harvest,8,4,Infused Pre-Rolls,Infused Pre-Roll,Quantity,No,,,,Hu$hie$,Concentrates,,1g,Concentrate,,Yes,,,"Banger Willis, LLC"
59433865,7,Orange Cream | 2400mg | Gummies | Arcadia,Multi Harvest,45,20.25,Edibles,Gummies,Quantity,No,,,,Arcadia,Edibles,2.8,2.4g,,,Yes,,,Arcadia Brands LLC
49393711,9,SummerBerry | 2400mg | Gummies | Arcadia,Multi Harvest,45,20.25,Edibles,Gummies,Quantity,No,,,,Arcadia,Edibles,2.8,80g,Edible,,Yes,,,Arcadia Brands LLC
92130523,7,Strawberry | 2400mg | Gummies | Arcadia,Multi Harvest,45,20.25,Edibles,Gummies,Quantity,No,,,,Arcadia,Edibles,2.8,80g,Edible,,Yes,,,Arcadia Brands LLC
76487011,10,Peach | 2400mg | Gummies | Arcadia,Multi Harvest,45,20.25,Edibles,Gummies,Quantity,No,,,,Arcadia,Edibles,2.8,2.4g,Edible,,Yes,,,Arcadia Brands LLC
83068098,9,Orange Cream | 1200mg | Gummies | Arcadia,Multi Harvest,30,12.96,Edibles,Gummies,Quantity,No,,,,Arcadia,Edibles,2.36,1.2g,Edible,,Yes,,,Arcadia Brands LLC
24141525,10,Green Apple | 1200mg | Gummies | Arcadia,Multi Harvest,30,12.96,Edibles,Gummies,Quantity,No,,,,Arcadia,Edibles,2.36,1.2g,Edible,,Yes,,,Arcadia Brands LLC
26294141,10,Blue Raspberry | 1200mg | Gummies | Arcadia,Multi Harvest,30,12.96,Edibles,Gummies,Quantity,No,,,,Arcadia,Edibles,2.36,1.2g,Edible,,Yes,,,Arcadia Brands LLC
